Palm_Position_X,Palm_Position_Y,Palm_Position_Z,Palm_Speed_X,Palm_Speed_Y,Palm_Speed_Z,Is_Right_Hand
-41.86021,299.22913,63.06924,132.69678,-308.72275,-145.21608,true
-40.699306,296.73434,61.836433,129.13269,-277.5045,-137.1306,true
-39.500057,294.32938,60.573112,117.5966,-235.82727,-123.879456,true
-36.4889,287.22723,57.25,112.08893,-264.37448,-123.70127,true
-35.48195,284.59726,56.43501,91.35836,-238.6111,-73.94229,true
-34.36582,281.39764,55.131214,109.11389,-312.79843,-127.460724,true
-33.378548,278.5163,53.93736,188.98799,-551.5597,-228.53293,true
-32.381268,275.93643,53.02024,93.91482,-242.94804,-86.36567,true
-31.4197,273.03036,51.956333,136.27647,-411.8567,-150.78041,true
-30.103115,269.90866,51.57339,29.500706,-69.94798,-8.580541,true
-29.326138,267.42578,50.33097,1700.1665,-5433.016,-2718.6506,true
-28.574192,264.99384,49.088707,2032.2845,-6572.793,-3357.4712,true
-27.710772,262.5549,48.079952,157.84653,-445.8735,-184.41551,true
-26.832947,260.3406,47.424686,87.46772,-220.63637,-65.2914,true
-26.035633,258.0905,46.635777,80.22875,-226.41327,-79.38334,true
-25.298178,255.63261,45.71732,78.73753,-262.4267,-98.062996,true
-24.716478,253.56396,44.21803,1272.862,-4526.59,-3280.7183,true
-24.107925,251.17613,43.61061,69.0989,-271.1283,-68.969925,true
-23.575485,248.93921,42.874565,96.50903,-405.46167,-133.41429,true
-23.096273,247.04054,42.37782,91.260895,-361.58115,-94.60044,true
-22.671112,245.40794,42.00699,51.503635,-197.7709,-44.921764,true
-22.252216,243.61214,41.613728,46.819576,-200.71616,-43.954643,true
-21.782122,241.5747,41.269897,52.151627,-226.02907,-38.143963,true
-21.306995,239.5028,40.94498,52.733265,-229.95683,-36.061707,true
-20.8966,237.43964,41.353825,16.23974,-81.64166,16.178339,true
-20.425283,235.94531,41.089985,34.632824,-109.80371,-19.38704,true
-19.908983,234.38719,40.093796,266.27075,-803.56824,-513.7645,true
-19.361376,233.16806,39.64185,184.56633,-410.899,-152.32391,true
-18.347399,231.42015,41.912987,15.408564,-26.561642,34.51256,true
-17.75117,230.20457,41.41488,111.13344,-226.57307,-92.84368,true
-17.18833,228.97403,41.039757,61.425213,-134.29593,-40.93866,true
-13.925259,224.11475,37.892097,231.83344,-213.90495,-5.1951666,true
-13.170931,223.98962,39.31455,45.57044,-7.5590487,85.933266,true
-12.453716,223.16333,39.398396,222.87585,-256.77338,26.055908,true
-10.981967,222.01715,38.692554,1523.5509,-1186.5231,-730.68713,true
-10.0480385,220.81694,40.303223,37.22165,-47.834324,64.19315,true
-9.301589,220.09827,40.583153,103.05797,-99.22259,38.648186,true
-8.633054,219.57141,40.73514,86.834045,-68.4314,19.741154,true
-7.9562507,218.88547,40.94801,55.662754,-56.414497,17.507206,true
-7.2529254,218.24902,40.996353,69.2113,-62.630337,4.7572055,true
-6.5110493,217.55441,40.74367,396.93735,-371.6482,-135.196,true
-5.8037467,216.86395,40.60827,165.48967,-161.54765,-31.680763,true
-5.0892015,216.27907,40.420223,439.17944,-359.48495,-115.576965,true
-4.4015455,215.49417,40.33254,148.84326,-169.89204,-18.979374,true
-3.7167015,214.94728,40.459705,74.44768,-59.450813,13.82407,true
-3.2054615,214.53818,40.370754,58.069057,-46.4687,-10.103873,true
-2.8466637,213.96329,40.021652,39.663708,-63.55075,-38.59176,true
-1.3710976,213.25577,39.719883,40.53753,-19.437328,-8.290366,true
-0.78706765,212.37047,39.248455,310.65424,-470.90378,-250.75858,true
-0.4140784,212.06331,38.858807,27.00472,-22.239557,-28.211063,true
0.23979811,211.14064,38.370358,257.7361,-363.6803,-192.5302,true
0.6453509,210.3924,38.11243,39.29775,-72.50482,-24.99269,true
1.165684,209.71307,37.940994,49.06951,-64.062416,-16.167126,true
1.8074193,208.71577,37.660133,78.798546,-122.45932,-34.48684,true
2.5484893,207.954,37.47763,110.98847,-114.08968,-27.333292,true
3.3331523,206.96628,37.281357,87.29145,-109.88083,-21.834854,true
4.1331267,206.30887,37.24484,87.909294,-72.2422,-4.013094,true
5.002864,205.60596,37.20983,97.03636,-78.423195,-3.905629,true
5.823931,204.87073,37.118988,90.3066,-80.86562,-9.991644,true
6.641054,204.25035,37.099472,90.70074,-68.86177,-2.1663535,true
7.404672,203.83147,37.095306,83.20092,-45.641174,-0.45358863,true
8.107894,203.27968,36.999016,79.34347,-62.256294,-10.864615,true
8.7932825,202.96712,36.896416,75.75036,-34.545692,-11.339161,true
9.507616,202.66023,36.782642,76.59587,-32.906544,-12.199832,true
10.190571,202.38078,36.7408,47.230656,-19.325005,-2.8937075,true
11.010107,202.11142,36.702076,51.102818,-16.796824,-2.4146914,true
12.089754,201.31352,36.26498,523.84625,-387.1372,-212.07928,true
13.0478325,200.84059,36.17288,152.68188,-75.36922,-14.677386,true
13.98023,200.30862,36.160065,154.5751,-88.1899,-2.1241148,true
14.900258,200.21486,36.432217,99.21581,-10.110887,29.348616,true
15.810842,200.0113,36.601246,101.76394,-22.749432,18.890427,true
16.724903,199.70651,36.740227,102.08418,-34.040096,15.521696,true
17.620571,199.3606,36.785236,99.46328,-38.41398,4.998156,true
18.567848,199.0598,36.774097,104.41777,-33.155872,-1.2277061,true
19.573929,198.60963,36.608997,111.4153,-49.851948,-18.283892,true
20.694023,198.32758,36.381905,120.41446,-30.322964,-24.413197,true
21.886778,197.87978,36.043095,137.06673,-51.459335,-38.934616,true
23.157537,197.49173,35.73778,135.66345,-41.427303,-32.59457,true
24.468563,197.31276,35.54078,150.4159,-20.533257,-22.602465,true
25.770424,197.19026,35.42826,144.20251,-13.568639,-12.463268,true
27.113157,197.141,35.41528,146.37895,-5.3689437,-1.4151142,true
28.509077,197.12192,35.321453,156.9155,-2.1453805,-10.546854,true
29.964083,197.14615,35.137173,160.27818,2.6684399,-20.299807,true
31.423143,197.13982,34.78948,161.38272,-0.70038974,-38.457733,true
32.8634,197.41386,34.54844,158.84601,30.224255,-26.584112,true
34.201912,197.6166,34.34274,147.15398,22.28799,-22.614285,true
35.58525,197.88795,34.416626,153.80669,30.172035,8.215095,true
36.965805,198.12672,34.7465,152.01006,26.289984,36.32149,true
38.34951,198.35175,35.149654,153.52318,24.966896,44.730442,true
39.714516,198.47177,35.34721,152.37813,13.397482,22.053638,true
41.17289,198.69017,35.54598,158.86461,23.792028,21.652275,true
42.670624,198.93044,35.71913,168.41719,27.01709,19.471052,true
44.256172,199.21248,35.82028,175.62563,31.241072,11.203541,true
45.845184,199.50705,35.81992,175.40671,32.516502,-0.03949535,true
47.4557,199.92159,35.738518,152.69896,39.30417,-7.7181654,true
49.06659,200.25618,35.720985,211.5142,43.93186,-2.301862,true
50.693012,200.87703,35.799194,179.4772,68.51245,8.630428,true
52.264412,201.61934,35.861008,128.69771,60.794838,5.0624976,true
53.851654,202.30617,35.98613,148.52084,64.26752,11.707933,true
55.46968,203.1201,36.143204,146.29521,73.59244,14.201794,true
57.114742,203.9758,36.382587,766.5711,398.74448,111.54937,true
58.714275,204.6184,36.46097,176.23796,70.801094,8.636378,true
60.285633,205.22794,36.634434,156.86913,60.84984,17.316906,true
61.88862,205.72362,36.872116,197.21729,60.985207,29.242239,true
63.575787,206.3751,37.160076,184.51091,71.24755,31.491705,true
65.26341,206.91264,37.49599,189.70657,60.42488,37.76032,true
66.98245,207.52713,37.960644,191.53625,68.46701,51.77162,true
68.74398,208.19089,38.417717,193.10765,72.763435,50.106857,true
75.5313,210.79886,40.32635,170.56143,65.536736,47.96288,true
76.824326,210.95206,40.36411,185.14058,21.936623,5.406265,true
78.4156,211.48839,40.401333,186.79225,62.956375,4.369522,true
80.03063,212.1254,40.463642,195.5949,77.14812,7.5463114,true
81.839485,213.12106,40.550884,207.15237,114.02548,9.991112,true
83.682076,214.22159,40.69166,207.33507,123.835724,15.840872,true
85.65546,215.5081,40.96316,218.14963,142.21808,30.013016,true
87.62826,216.69118,41.19994,218.25467,130.88573,26.195435,true
89.63058,217.94507,41.460957,221.6422,138.7971,28.892565,true
91.595345,219.10725,41.777493,217.70287,128.77357,35.073162,true
93.724464,220.51555,42.10077,233.02173,154.13177,35.381268,true
95.770004,221.84195,42.50448,226.57695,146.92055,44.717106,true
97.88541,223.3996,43.010643,235.88344,173.6899,56.44122,true
99.823074,224.79297,43.589756,214.8433,154.49203,64.21039,true
101.54409,226.09328,44.69582,189.53946,143.206,121.81345,true
103.21441,227.53152,45.32406,184.76915,159.09789,69.49532,true
104.93846,228.86963,46.09285,190.90387,148.16791,85.12817,true
106.66854,230.00998,46.80547,191.52925,126.242645,78.89063,true
108.50321,231.2999,47.454037,201.30212,141.5313,71.16166,true
110.192406,232.40485,48.074512,188.63164,123.38957,69.28795,true
111.898415,233.65523,48.72502,188.36357,138.05716,71.8241,true
113.82196,235.23004,49.430473,192.41206,157.52914,70.56638,true
115.50778,236.60794,50.42058,207.3584,169.4833,121.78426,true
116.984764,237.76001,51.08494,164.01819,127.93612,73.77707,true
118.49944,238.95004,51.82041,166.96124,131.17647,81.070045,true
119.7744,239.88916,52.437626,141.81947,104.46241,68.655785,true
121.11886,240.96165,53.17112,148.92137,118.79672,81.24632,true
122.53076,242.1817,54.035275,154.39064,133.4102,94.49506,true
123.903564,243.33862,54.7793,153.59187,129.43895,83.24308,true
125.349556,244.61375,55.494823,160.36255,141.4146,79.35259,true
126.493355,245.47218,56.143578,126.09433,94.6346,71.5197,true
127.915436,246.73259,56.74023,155.5378,137.8553,65.257805,true
129.28139,247.9292,57.35233,153.47807,134.44963,68.77498,true
130.59816,248.98985,57.919388,144.97025,116.7735,62.4306,true
132.01074,250.2932,58.567078,152.94276,141.11646,70.12678,true
133.28195,251.271,59.151833,142.27423,109.43414,65.44552,true
134.4636,252.26991,59.742065,132.1148,111.684654,65.99195,true
135.6119,253.318,60.373615,126.10397,115.098274,69.35547,true
136.93903,254.55342,61.15368,147.77048,137.5608,86.85693,true
138.12384,255.80746,61.95277,130.71616,138.35326,88.16105,true
139.24133,256.86014,62.706673,124.74811,117.5142,84.15989,true
140.31163,257.8979,63.397522,118.527084,114.91984,76.50595,true
141.24878,258.76883,64.02786,103.49611,96.18372,69.61212,true
142.43494,260.07617,64.77,131.48811,144.92262,82.267456,true
143.49184,261.02432,65.362404,116.35987,104.38806,65.22199,true
144.59407,262.1323,65.92934,122.279945,122.91588,62.894215,true
145.62431,263.14688,66.512726,113.22713,111.50479,64.11582,true
146.68558,264.2315,67.04834,117.13683,119.71566,59.119003,true
147.60443,265.09525,67.48537,101.10582,95.04154,48.088295,true
148.67358,266.22058,68.12247,118.86077,125.1079,70.827965,true
149.60298,267.18588,68.690186,102.33459,106.287796,62.51048,true
150.584,268.16412,69.3161,110.09106,109.78073,70.24085,true
151.55629,269.18375,69.951065,107.256134,112.47656,70.04514,true
152.16284,269.6976,70.48684,66.815865,56.606384,59.019413,true
153.9506,271.7836,72.08091,99.182724,115.72828,88.43644,true
154.61523,272.7025,72.78123,73.47293,101.57969,77.417465,true
155.41489,273.70224,73.43365,88.056206,110.0918,71.84478,true
156.25441,274.87775,74.10138,91.70243,128.40134,72.936005,true
156.6686,275.32794,74.58396,46.741325,50.806084,54.461243,true
157.3345,276.4689,75.32593,73.17,125.36483,81.52583,true
159.11284,279.52948,77.53342,65.79066,113.22872,81.668304,true
159.48935,280.3122,78.33875,41.42639,86.119156,88.605385,true
159.96521,281.29883,79.14546,52.274647,108.38462,88.62,true
160.29863,282.11,79.835335,37.23666,90.59194,77.04676,true
160.95067,283.51782,80.63857,72.03202,155.52718,88.73532,true
161.59708,284.9293,81.45452,71.63219,156.41301,90.42011,true
162.06683,286.032,82.26243,51.924328,121.88766,89.30134,true
162.59291,287.21896,83.031395,56.93479,128.45769,83.22112,true
163.01747,288.26938,83.72055,47.870945,118.436325,77.70389,true
163.57976,289.52374,84.47396,62.38536,139.17271,83.59157,true
164.1278,290.88702,85.18248,60.238564,149.84294,77.8761,true
164.53111,292.03387,85.79545,44.902138,127.68327,68.24426,true
164.78291,293.01767,86.3853,27.658157,108.06472,64.790596,true
165.05759,294.0683,86.98363,30.681839,117.36053,66.836845,true
165.3999,295.30313,87.657814,37.833874,136.47647,74.51267,true
165.79091,296.55997,88.24344,42.7559,137.43326,64.03757,true
165.99084,297.45923,88.64047,22.285078,100.23067,44.25229,true
166.2386,298.45316,89.08034,27.282719,109.45126,48.43822,true
166.61217,299.72318,89.60891,41.39741,140.739,58.574203,true
167.13185,301.27142,90.17429,57.55666,171.47287,62.618393,true
167.48332,302.641,90.85496,38.754597,151.01703,75.05376,true
168.06438,304.32913,91.49458,64.00833,185.95984,70.45911,true
168.41771,305.67776,92.02153,39.58807,151.10883,59.04189,true
168.85002,307.02536,92.399376,47.548134,148.21542,41.557686,true
169.448,308.8353,92.952866,66.16372,200.25812,61.240833,true
169.71957,310.0811,93.45501,30.008081,137.65881,55.484894,true
170.32138,312.07584,94.23024,66.16808,219.3214,85.2371,true
170.92279,314.00967,94.811584,66.60958,214.18181,64.386734,true
171.23415,315.42615,95.29372,34.66494,157.7018,53.677017,true
171.90219,317.46646,95.84771,73.68647,225.0493,61.107124,true
172.5056,319.409,96.41673,66.90409,215.38531,63.09144,true
172.91696,321.20215,97.03838,45.26985,197.3295,68.41085,true
173.22403,322.91006,97.62097,33.92519,188.70079,64.367516,true
173.65115,324.7399,98.032684,47.87272,205.09161,46.145943,true
174.10939,326.67374,98.44333,50.779926,214.29875,45.505386,true
174.4541,328.29044,98.54729,38.128983,178.81764,11.49893,true
174.75568,330.06906,99.11815,33.303234,196.42744,63.043934,true
175.32344,332.49966,99.97946,62.80667,268.87228,95.2779,true
175.5009,333.9846,100.36786,19.624075,164.20529,42.95005,true
175.96124,336.1971,101.218735,50.96161,244.9368,94.19631,true
176.31589,338.22687,102.072365,39.226383,224.50732,94.41717,true
176.63643,340.36136,103.07746,35.4696,236.19525,111.22069,true
176.88676,342.19888,103.920006,27.529015,202.05963,92.64843,true
177.1584,344.40582,105.14173,29.751152,241.7234,133.81415,true
177.17302,346.06418,106.09138,1.6447414,186.4791,106.78602,true
177.94937,349.1357,107.39343,85.87927,339.7711,144.03273,true
178.23813,351.35056,108.683586,31.857868,244.35655,142.33778,true
178.74724,353.95102,109.96223,56.391453,288.04257,141.6306,true
178.78578,355.77325,110.91982,4.2691536,201.82109,106.05782,true
179.30127,358.37344,111.91354,57.023468,287.63086,109.925224,true
179.57751,360.68008,112.89794,30.383322,253.70009,108.27016,true
179.81221,362.9869,113.73828,26.173359,257.25714,93.71536,true
179.8544,364.63004,114.29062,4.655253,181.35925,60.964077,true
179.91997,366.27374,114.678024,7.265826,182.14809,42.93025,true
180.34546,368.64456,115.13721,46.336254,258.17773,50.004215,true
180.63306,370.62466,115.567604,32.205643,221.73442,48.196083,true
180.58398,372.00275,115.983826,-5.400849,151.65399,45.804802,true
181.01778,374.41144,116.761086,48.18811,267.57217,86.3426,true
181.01312,375.80396,116.99029,-0.5190125,155.12228,25.53245,true
181.098,377.512,117.51188,9.340102,187.92242,57.386494,true
181.2016,379.37616,118.221924,11.425948,205.62155,78.319756,true
181.1287,380.86142,118.87785,-8.108736,165.19502,72.95422,true
181.39539,383.27405,119.83868,29.57296,267.5363,106.54508,true
181.35547,384.80408,120.52683,-4.3943872,168.4679,75.77111,true
181.27988,386.31885,121.136925,-8.360536,167.52422,67.47366,true
181.46272,388.42963,122.010506,20.20301,233.2094,96.51754,true
181.38927,390.13464,122.892,-8.13097,188.71211,97.56408,true
181.07271,391.29666,123.52622,-34.825115,127.837456,69.77184,true
181.5146,393.917,124.48348,49.308155,292.37952,106.81265,true
181.04167,394.65167,124.89083,-52.206837,81.101974,44.966587,true
180.83359,396.1657,125.663895,-23.111841,168.17073,85.86756,true
180.53165,397.35242,126.035736,-33.1984,130.47787,40.88363,true
180.59921,399.00394,126.54137,7.5348797,184.19733,56.394146,true
180.56303,400.3708,127.057594,-3.9804435,150.38423,56.797535,true
180.3595,401.46002,127.317085,-22.617483,121.04079,28.834936,true
180.45428,403.07797,127.94754,10.442589,178.22589,69.44929,true
180.46245,404.4762,128.4735,0.90886575,155.7754,58.59579,true
180.06317,404.9418,128.69113,-43.877434,51.16682,23.916006,true
179.84541,405.84686,129.0737,-24.045042,99.93802,42.244408,true
179.71101,406.93265,129.54877,-14.911513,120.47081,52.709694,true
179.82214,408.43805,130.09203,12.24222,165.84766,59.849506,true
179.50793,408.81,130.08849,-34.799496,41.19332,-0.39286762,true
179.36552,409.77127,130.55458,-15.804115,106.678925,51.725365,true
179.22055,410.58334,130.88686,-15.9612,89.404434,36.583153,true
179.06444,411.2591,131.19344,-17.321991,74.983734,34.019073,true
178.68234,411.63123,131.2411,-42.483894,41.37462,5.298567,true
178.34564,412.08362,131.51501,-37.195454,49.97782,30.259941,true
178.21866,413.15634,132.04768,-14.0580635,118.7565,58.96908,true
177.75279,413.26892,132.06595,-51.527775,12.451793,2.0214086,true
177.58173,414.0557,132.32785,-19.005466,87.40873,29.096424,true
177.1635,414.13593,132.33965,-46.208244,8.8663645,1.3040209,true
177.09402,414.98865,132.50275,-7.650867,93.900116,17.959845,true
176.99629,415.78085,132.81245,-10.843708,87.90709,34.36662,true
176.66081,415.84833,132.88339,-37.033432,7.44815,7.8307595,true
176.13083,415.79523,132.92448,-58.85485,-5.8982615,4.562501,true
175.5753,415.23636,132.83884,-61.615517,-61.98366,-9.499395,true
175.03624,414.90094,132.70584,-59.63743,-37.107876,-14.713048,true
175.19601,416.26575,133.23701,17.523926,149.68105,58.2551,true
174.77652,416.04468,132.93959,-46.486534,-24.499163,-32.959557,true
174.80952,417.12183,133.37987,3.6563218,119.36597,48.790478,true
174.57103,417.73212,133.60686,-26.308197,67.32563,25.039143,true
173.61046,416.35736,133.15405,-106.2001,-151.9935,-50.060375,true
173.33511,416.7192,133.39131,-30.390287,39.940887,26.186625,true
172.66158,416.08206,133.09106,-75.05528,-70.99954,-33.456287,true
172.30295,416.09027,132.9401,-39.66289,0.9066427,-16.696686,true
172.08803,416.42322,132.88808,-23.90597,37.037624,-5.785971,true
171.90735,416.90952,132.94157,-19.81264,53.326347,5.865231,true
171.48247,416.7849,132.96066,-46.954365,-13.769229,2.109655,true
170.95804,416.35934,132.83153,-58.18634,-47.217995,-14.326588,true
170.66394,416.84085,133.24193,-32.418163,53.07652,45.23707,true
169.9336,415.91275,132.97705,-80.78916,-102.66564,-29.299698,true
169.44574,415.9559,133.10428,-54.033344,4.7781024,14.090664,true
169.60243,417.01486,133.24132,17.518353,118.3853,15.319937,true
169.04752,416.34964,132.87572,-60.36338,-72.3617,-39.768757,true
168.92651,416.67636,132.76445,-13.437306,36.283787,-12.356721,true
168.76738,417.1528,132.7135,-17.485275,52.349754,-5.5980196,true
168.2474,416.56995,132.42651,-58.602314,-65.68825,-32.344257,true
167.75009,416.3316,132.39958,-55.017963,-26.367804,-2.9800975,true
167.27522,416.26794,132.23927,-52.442856,-7.029971,-17.702797,true
167.10986,417.3557,132.41606,-18.344631,120.67567,19.612024,true
166.49698,417.44513,132.066,-67.729866,9.880921,-38.685738,true
166.52597,419.28833,132.12192,3.189865,202.81773,6.154622,true
166.18762,420.8491,132.10867,-37.498734,172.97519,-1.4685696,true
165.11285,421.0345,131.64981,-119.36511,20.588688,-50.961895,true
163.81242,421.28958,130.96657,-142.8092,28.014477,-75.03237,true
159.69997,424.86566,131.47083,-152.12195,132.28052,18.652658,true
156.29263,423.88647,131.8825,-373.5709,-107.35468,45.136505,true
153.70833,425.33218,133.226,-286.47546,160.26079,148.9282,true
149.8797,424.2048,133.91965,-422.11978,-124.295906,76.47773,true
146.8538,425.1189,135.57399,-335.83755,101.45134,183.61253,true
143.03194,423.88083,136.54585,-419.7092,-135.96046,106.72628,true
140.09128,425.5449,138.00954,-326.2323,184.60751,162.37907,true
136.15814,425.00552,139.38333,-438.52487,-60.138,153.17206,true
133.23512,426.8754,140.52776,-320.82306,205.23375,125.6098,true
129.67812,426.90863,141.57385,-393.69266,3.6778164,115.78121,true
125.88907,426.98694,142.33923,-421.0524,8.702338,85.0533,true
122.252815,427.7665,142.45468,-402.06223,86.19935,12.76377,true
118.51429,428.9691,142.69664,-415.90024,133.78119,26.917372,true
